time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
1230786000,Partly cloudy throughout the day.,partly-cloudy-day,1230814320,1230846780,0.17,0,0,,0,,,23.69,1230854280,22.43,1230857220,21.23,1230832320,15.41,1230856740,7.56,0.67,1024.5,2.79,10.06,1230857460,180,0.41,1,1230830400,9.925,7.97,1230795600,26.88,1230868800,2.21,1230786000,24.89,1230865500
1230872400,Snow (< 2 in.) in the evening and overnight.,snow,1230900720,1230933180,0.2,0.0043,0.0302,1230949980,0.67,1,snow,35.53,1230919200,22.73,1230987600,28.94,1230919080,17.47,1230987600,22.11,0.7,1006.2,5.84,16.63,1230948120,250,0.83,1,1230916980,8.693,26.1,1230872400,35.53,1230919200,19.22,1230944580,29.96,1230887040
1230958800,Clear throughout the day.,snow,1230987120,1231019640,0.24,0.0001,0.0016,1231018200,0.28,0.04,snow,25.35,1230984000,14.67,1231069620,20.85,1230984000,5.19,1231069740,15.34,0.7,1019.9,5.12,12.22,1231006020,315,0.33,1,1231003260,9.926,16.77,1231041600,30.37,1230973200,12.5,1231030860,23.52,1230973560
1231045200,Mostly cloudy throughout the day.,partly-cloudy-day,1231073520,1231106100,0.27,0,0,,0,,,30.64,1231109040,26.02,1231119000,28,1231113600,22.82,1231160400,15.11,0.73,1018.6,3.86,8.62,1231096620,59,0.53,1,1231088880,9.57,14.67,1231069620,30.64,1231109040,5.19,1231069740,28.35,1231126800
1231131600,Possible light snow in the afternoon.,snow,1231159920,1231192560,0.31,0.0002,0.0027,1231185900,0.52,0.05,snow,32.34,1231156800,19.28,1231236060,25.07,1231156800,14.4,1231200000,18.07,0.67,1016.4,6.95,17.15,1231152120,262,0.39,1,1231176180,9.535,20.61,1231214400,34.32,1231147260,13.68,1231197120,28.54,1231143660
1231218000,Snow (1–2 in.) overnight.,clear-day,1231246320,1231279020,0.34,0,0,,0,,,32.43,1231281000,29.4,1231306560,31.94,1231267680,22.94,1231289880,17.85,0.69,1012.3,3.61,17.7,1231289880,103,0.27,1,1231261680,9.317,19.28,1231236060,32.62,1231292460,16.27,1231218000,31.94,1231267680
1231304400,Snow (2–4 in.) throughout the day.,snow,1231332720,1231365480,0.38,0.0266,0.064,1231350660,0.99,3.94,snow,35.58,1231354740,20.86,1231419600,35.24,1231354200,12.54,1231419360,31.25,0.95,988.2,4.66,11.5,1231308180,148,0.97,1,1231348980,3.848,29.4,1231306560,35.58,1231354740,23.95,1231306920,35.24,1231354200
1231390800,Snow (< 1 in.) in the morning.,snow,1231419120,1231451940,0.42,0.0012,0.015,1231407000,0.67,0.36,snow,26.95,1231444800,12.96,1231503900,18.37,1231444380,5.56,1231495980,16.12,0.72,997.8,6.45,16.64,1231448820,293,0.58,1,1231434780,8.804,19.01,1231473600,29.05,1231390800,12.46,1231467600,23.77,1231394640
1231477200,Overcast throughout the day.,partly-cloudy-day,1231505460,1231538460,0.46,0,0,1231534500,0,,,23.59,1231529520,11.76,1231588740,23.35,1231532340,2.96,1231588920,8.61,0.66,1018.6,3.07,6.83,1231477200,324,0.75,1,1231522020,9.907,12.96,1231503900,23.59,1231529520,5.56,1231495980,23.35,1231532340
1231563600,Heavy snow (3–6 in.) in the evening and overnight.,snow,1231591860,1231624920,0.5,0.0057,0.0585,1231640220,0.79,2.49,snow,21.44,1231613880,11.48,1231678740,13.01,1231612620,2.95,1231646460,9.66,0.75,1021.4,6.02,22.27,1231598400,49,0.83,1,1231607580,7.183,11.76,1231588740,21.44,1231613880,2.35,1231596060,15.85,1231565760
