time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
1230786000,Mostly cloudy throughout the day.,partly-cloudy-day,1230814345,1230846755,0.17,0,0,,0,,,22.71,1230854400,22.71,1230854400,20.2,1230832800,13.26,1230854400,5.55,0.64,1024.64,3.6,15.34,1230858000,150,0.67,1,1230829200,10,6.33,1230811200,25.26,1230868800,6.33,1230811200,20.2,1230832800
1230872400,Foggy in the evening.,partly-cloudy-day,1230900746,1230933209,0.2,0,0,,0,,,34.1,1230919200,22.84,1230987600,28.85,1230912000,16.29,1230987600,19.68,0.66,1006.75,5.86,16.31,1230922800,252,0.86,1,1230915600,8.874,25.99,1230872400,34.1,1230919200,18.94,1230951600,28.85,1230912000
1230958800,Partly cloudy throughout the day.,partly-cloudy-day,1230987145,1231019664,0.24,0,0,,0,,,24.41,1230984000,12.74,1231059600,19.87,1230984000,5.11,1231066800,13.21,0.66,1020.08,5.36,14.95,1231012800,322,0.35,1,1231002000,10,15.21,1231041600,28.62,1230973200,10.54,1231038000,25.96,1230966000
1231045200,Mostly cloudy throughout the day.,partly-cloudy-day,1231073541,1231106121,0.27,0,0,,0,,,28.59,1231102800,26.2,1231117200,26.86,1231113600,21.31,1231160400,12.82,0.7,1019.09,3.57,12.01,1231095600,67,0.72,1,1231088400,9.541,12.74,1231059600,28.59,1231102800,5.11,1231066800,27.72,1231128000
1231131600,Partly cloudy throughout the day.,partly-cloudy-day,1231159934,1231192580,0.31,0,0,,0,,,31.45,1231156800,16.93,1231243200,24.84,1231156800,13.53,1231214400,16.36,0.64,1016.63,6.23,15.81,1231171200,262,0.45,1,1231174800,9.625,19.64,1231214400,33.42,1231146000,13.53,1231214400,30.46,1231135200
1231218000,Possible flurries overnight.,partly-cloudy-day,1231246325,1231279041,0.34,0,0,,0,,,31.35,1231286400,29.44,1231304400,31.06,1231268400,22.19,1231304400,15.37,0.65,1012.58,3.82,14.85,1231293600,109,0.51,1,1231261200,9.406,16.93,1231243200,31.61,1231290000,13.92,1231228800,31.06,1231268400
1231304400,Light snow until evening.,snow,1231332714,1231365503,0.38,0.0055,0.0212,1231340400,0.76,1.14,snow,33.49,1231354800,21.05,1231419600,33.49,1231354800,14.23,1231419600,28.61,0.89,988.95,4.37,15.44,1231326000,98,1,1,1231347600,3.859,29.44,1231304400,33.49,1231354800,22.19,1231304400,33.49,1231354800
1231390800,Overcast throughout the day.,partly-cloudy-day,1231419100,1231451967,0.42,0,0,,0,,,25.1,1231444800,11.63,1231495200,16.81,1231444800,4.61,1231498800,14.24,0.68,998.08,5.48,17.74,1231426800,297,0.76,1,1231437600,9.04,18.37,1231473600,28.42,1231390800,12.31,1231426800,25.97,1231401600
1231477200,Mostly cloudy throughout the day.,partly-cloudy-day,1231505484,1231538432,0.46,0,0,,0,,,22.7,1231531200,9.65,1231588800,22.7,1231531200,3.39,1231588800,6.5,0.64,1019.09,2.75,7.01,1231556400,328,0.7,1,1231524000,9.958,11.63,1231495200,22.7,1231531200,4.61,1231498800,22.7,1231531200
1231563600,Possible flurries overnight.,partly-cloudy-day,1231591866,1231624898,0.5,0,0,,0,,,20.44,1231614000,10.03,1231678800,12.73,1231610400,2.17,1231653600,7.29,0.7,1021.81,4.57,13.89,1231606800,35,0.85,1,1231606800,8.187,9.65,1231588800,20.44,1231614000,3.34,1231646400,14.1,1231563600
1231650000,Mostly cloudy throughout the day.,snow,1231678245,1231711366,0.54,0.0005,0.0121,1231653600,0.3,0.23,snow,22.61,1231700400,16.25,1231754400,21.47,1231707600,16.25,1231754400,6.86,0.64,1017.96,3.4,13.22,1231653600,343,0.71,1,1231693200,9.104,10.03,1231678800,22.61,1231700400,2.17,1231653600,21.47,1231707600
1231736400,Mostly cloudy throughout the day.,partly-cloudy-day,1231764622,1231797836,0.57,0,0,,0,,,27.46,1231779600,22.55,1231808400,20.62,1231779600,16.73,1231804800,13.83,0.7,1020.08,3.14,13.87,1231783200,252,0.81,1,1231779600,9.749,16.25,1231754400,27.46,1231779600,16.25,1231754400,24.78,1231819200
1231822800,Possible flurries in the morning.,snow,1231850996,1231884306,0.61,0.0012,0.0093,1231855200,0.36,0.36,snow,33.96,1231866000,-5.18,1231934400,28.05,1231866000,-12.33,1231930800,18.53,0.75,1010.43,7.45,22.47,1231891200,255,0.79,1,1231866000,7.239,8.41,1231905600,33.96,1231866000,-3.15,1231902000,28.63,1231833600
1231909200,Mostly cloudy throughout the day.,partly-cloudy-day,1231937368,1231970777,0.65,0,0,,0,,,9.61,1231966800,1.1,1232024400,8.38,1231959600,-8.96,1232020800,-4.92,0.67,1021.2,3.31,8.92,1231912800,0,0.67,1,1231952400,8.031,-5.18,1231934400,9.61,1231966800,-12.33,1231930800,8.38,1231959600
1231995600,Mostly cloudy throughout the day.,partly-cloudy-day,1232023738,1232057250,0.68,0,0,,0,,,13.49,1232053200,2.63,1232085600,10.94,1232042400,-11.69,1232107200,-3.09,0.63,1026.18,4.59,16.1,1232071200,318,0.65,1,1232038800,8.67,1.1,1232024400,13.49,1232053200,-8.96,1232020800,10.94,1232042400
